sourceName,sourceVersion,device,creationDate,startDate,endDate,workoutActivityType,duration,durationUnit,totalDistance,totalDistanceUnit,totalEnergyBurned,totalEnergyBurnedUnit
"Divvy","5057",,2019-06-30 10:06:10 -0600,2019-06-28 07:12:35 -0600,2019-06-28 07:38:27 -0600,"HKWorkoutActivityTypeCycling",25.86666666666667,"min",,,,
"Divvy","5057",,2019-06-30 10:43:25 -0600,2019-06-30 10:06:33 -0600,2019-06-30 10:25:14 -0600,"HKWorkoutActivityTypeCycling",18.68333333333333,"min",,,,
"Divvy","5057",,2019-06-30 15:35:28 -0600,2019-06-30 10:44:10 -0600,2019-06-30 11:04:10 -0600,"HKWorkoutActivityTypeCycling",20,"min",,,,
"Divvy","5057",,2019-07-01 07:27:49 -0600,2019-06-30 15:35:46 -0600,2019-06-30 16:02:56 -0600,"HKWorkoutActivityTypeCycling",27.16666666666667,"min",,,,
"Divvy","5057",,2019-07-01 10:36:45 -0600,2019-07-01 07:28:35 -0600,2019-07-01 07:51:00 -0600,"HKWorkoutActivityTypeCycling",22.41666666666667,"min",,,,
"Divvy","5057",,2019-07-02 07:28:17 -0600,2019-07-01 14:27:29 -0600,2019-07-01 14:48:27 -0600,"HKWorkoutActivityTypeCycling",20.96666666666667,"min",,,,
"Divvy","5057",,2019-07-02 15:25:49 -0600,2019-07-02 07:28:43 -0600,2019-07-02 07:51:11 -0600,"HKWorkoutActivityTypeCycling",22.46666666666667,"min",,,,
"Divvy","5057",,2019-07-03 07:42:43 -0600,2019-07-02 15:26:44 -0600,2019-07-02 15:48:48 -0600,"HKWorkoutActivityTypeCycling",22.06666666666667,"min",,,,
"Divvy","5057",,2019-07-03 10:17:44 -0600,2019-07-03 07:43:17 -0600,2019-07-03 08:08:10 -0600,"HKWorkoutActivityTypeCycling",24.88333333333333,"min",,,,
"Divvy","5057",,2019-07-03 10:26:23 -0600,2019-07-03 10:18:05 -0600,2019-07-03 10:26:11 -0600,"HKWorkoutActivityTypeCycling",8.1,"min",,,,
"Divvy","5057",,2019-07-07 15:09:14 -0600,2019-07-03 16:20:56 -0600,2019-07-03 16:37:53 -0600,"HKWorkoutActivityTypeCycling",16.95,"min",,,,
"Divvy","5057",,2019-07-08 11:46:45 -0600,2019-07-07 15:09:30 -0600,2019-07-07 15:15:41 -0600,"HKWorkoutActivityTypeCycling",6.183333333333334,"min",,,,
"Divvy","5057",,2019-07-08 12:39:56 -0600,2019-07-08 11:47:07 -0600,2019-07-08 11:54:41 -0600,"HKWorkoutActivityTypeCycling",7.569166664282481,"min",,,,
